Name,Calories (per 100g),Carbohydrates (g),Protein (g),Fat (g),Fiber (g),Vitamin C (mg),Zinc (mg),Potassium (mg),Iron (mg),Calcium (mg)
Amaranth,23,4,2.1,0.3,2,70,0.9,611,2.7,215
Apple,52,14,0.3,0.2,2.4,0.5,0.04,107,0.12,3
Apricot,48,11,1.4,0.4,2,3.9,0.2,259,0.4,13
Asparagus,20,3.7,2.2,0.2,2.1,5.6,0.5,202,2.1,24
Avocado,160,8.5,2,14.7,6.7,8.8,1.3,485,0.6,12
Banana,89,23,1.3,0.3,2.6,8.7,0.2,358,0.26,5
Beans,31,7,1.8,0.2,2.7,16.3,0.2,209,0.6,37
Beetroot,43,9.6,1.6,0.2,2.8,1.6,0.4,325,0.8,16
Bell Pepper,20,4.6,0.9,0.2,1.7,128,0.2,340,0.3,7
Bitter Gourd,19,4.3,0.8,0.2,2.6,19.8,0.8,296,0.4,40
Black Berry,43,9.6,1.4,0.4,5.3,21,0.53,162,0.8,29
Black Currant,63,15,0.9,0.4,5.8,181,0.27,322,1,55
Blueberry,57,14.5,0.7,0.3,2.4,9.7,0.16,77,0.16,6
Bottle Gourd,15,3.4,0.6,0.1,0.6,10,0.2,133,0.2,14
Brinjal,25,5.9,1,0.2,3,1,0.2,229,0.2,9
Broccoli,55,11.2,3.7,0.6,3.3,89.2,0.4,316,0.7,47
Cabbage,25,6,1.3,0.1,2.5,36.6,0.2,170,0.5,40
Capsicum,20,4.6,0.9,0.2,1.7,128,0.2,340,0.3,7
Carrot,41,10,0.9,0.2,2.8,3.6,0.2,320,0.3,33
Cashew,553,30.19,18.22,43.85,3.3,0.5,5.78,660,6.68,37
Cauliflower,25,5,1.9,0.3,2,46.4,0.3,299,0.4,22
Chikoo,83,19.9,0.9,0.4,5.3,14.7,0.6,193,0.6,12
Chilli,40,9,1.9,0.2,1.6,242.5,0.4,340,0.9,13
Coconut,354,15.2,3.3,33.5,9,2.8,0.3,356,2.8,13
Corn,96,21.82,3.22,1.18,2.4,2.4,0.47,270,0.52,2
Cranberry,46,12.2,0.4,0.1,4.6,13.3,0.1,85,0.4,8
Cucumber,16,3.63,0.65,0.11,0.5,2.8,0.2,147,0.12,16
Custard Apple,101,23.6,2.06,0.6,3.3,47.8,0.4,382,0.68,25
Dates,277,74.97,2.45,0.39,6.7,0.9,0.44,696,0.9,39
Dragon Fruit,60,11,1.8,0.6,3,9,0.6,359,9,8
Elderberry,73,18.4,0.7,0.5,7,6.1,0.11,73,1.6,38
Fig,74,19.2,0.8,0.3,2.9,0.8,0.4,232,0.3,35
Garlic,149,33.1,6.36,0.5,2.2,31.2,1.16,401,1.7,181
Ginger,80,17.8,1.8,0.8,2,0.7,0.6,415,0.6,16
Gooseberry,44,10.2,0.9,0.6,5.4,27.7,0.1,198,0.3,25
Grapes,69,18,0.7,0.2,0.9,0.9,0.07,191,0.07,10
Guava,68,14,2.6,1,5.4,228.3,0.23,417,0.9,18
Jackfruit,95,23.5,2.3,0.6,2.5,6.7,0.4,448,0.6,34
Kiwi,61,14.7,1.1,0.5,3,92.7,0.1,312,0.5,34
Lemon,29,9.3,1.1,0.3,2.8,53,0.1,138,0.6,26
Lettuce,15,2.87,1.36,0.15,1.3,9.2,0.2,238,1.2,36
Litchi,66,16.5,0.8,0.4,1.3,136,0.1,171,0.31,8
Longan,60,15.1,1.3,0.2,1.3,84,0.5,266,1.13,10
Mango,60,15,0.8,0.4,1.6,36.4,0.1,168,0.16,11
Mushroom,22,3.3,3.1,0.3,1,0.5,1.1,318,0.5,3
Muskmelon,34,8.2,0.8,0.2,0.9,12.3,0.1,267,0.21,13
Okra,33,7.5,1.9,0.2,3.2,21.1,0.2,299,0.8,77
